query_image,best_match,score
C:\Users\gimbe\OneDrive\Desktop\lol_project\dataset\자료\Screenshot_20260327_211115_Wild Rift__roi_preview__ally_picks_1.png,C:\Users\gimbe\OneDrive\Desktop\lol_project\dataset\픽\Screenshot_20260328_174001_Wild_Rift_r4c4.png,0.744592
C:\Users\gimbe\OneDrive\Desktop\lol_project\dataset\자료\Screenshot_20260327_211115_Wild Rift__roi_preview__ally_picks_4.png,C:\Users\gimbe\OneDrive\Desktop\lol_project\dataset\픽\Screenshot_20260328_174024_Wild_Rift_r2c1.png,0.366321
C:\Users\gimbe\OneDrive\Desktop\lol_project\dataset\자료\Screenshot_20260327_211115_Wild Rift__roi_preview__ally_picks_5.png,C:\Users\gimbe\OneDrive\Desktop\lol_project\dataset\픽\Screenshot_20260328_174001_Wild_Rift_r1c2.png,0.563323
C:\Users\gimbe\OneDrive\Desktop\lol_project\dataset\자료\Screenshot_20260328_111656_Wild Rift__ally_picks_1.png,C:\Users\gimbe\OneDrive\Desktop\lol_project\dataset\픽\mel.png,0.315336
C:\Users\gimbe\OneDrive\Desktop\lol_project\dataset\자료\Screenshot_20260328_111656_Wild Rift__ally_picks_2.png,C:\Users\gimbe\OneDrive\Desktop\lol_project\dataset\픽\Screenshot_20260328_174001_Wild_Rift_r4c3.png,0.628452
C:\Users\gimbe\OneDrive\Desktop\lol_project\dataset\자료\Screenshot_20260328_111656_Wild Rift__ally_picks_3.png,C:\Users\gimbe\OneDrive\Desktop\lol_project\dataset\픽\Screenshot_20260328_174001_Wild_Rift_r3c2.png,0.659311
C:\Users\gimbe\OneDrive\Desktop\lol_project\dataset\자료\Screenshot_20260328_111656_Wild Rift__ally_picks_4.png,C:\Users\gimbe\OneDrive\Desktop\lol_project\dataset\픽\Screenshot_20260328_174024_Wild_Rift_r4c1.png,0.688895
C:\Users\gimbe\OneDrive\Desktop\lol_project\dataset\자료\Screenshot_20260328_111656_Wild Rift__ally_picks_5.png,C:\Users\gimbe\OneDrive\Desktop\lol_project\dataset\픽\Screenshot_20260328_173940_Wild_Rift_r1c2.png,0.672651
C:\Users\gimbe\OneDrive\Desktop\lol_project\dataset\자료\Screenshot_20260328_113442_Wild Rift__ally_picks_1.png,C:\Users\gimbe\OneDrive\Desktop\lol_project\dataset\픽\Screenshot_20260328_174001_Wild_Rift_r3c4.png,0.833741
C:\Users\gimbe\OneDrive\Desktop\lol_project\dataset\자료\Screenshot_20260328_113442_Wild Rift__ally_picks_2.png,C:\Users\gimbe\OneDrive\Desktop\lol_project\dataset\픽\Screenshot_20260328_174001_Wild_Rift_r3c2.png,0.675664
C:\Users\gimbe\OneDrive\Desktop\lol_project\dataset\자료\Screenshot_20260328_113442_Wild Rift__ally_picks_3.png,C:\Users\gimbe\OneDrive\Desktop\lol_project\dataset\픽\Screenshot_20260328_174014_Wild_Rift_r2c2.png,0.768606
C:\Users\gimbe\OneDrive\Desktop\lol_project\dataset\자료\Screenshot_20260328_113442_Wild Rift__ally_picks_4.png,C:\Users\gimbe\OneDrive\Desktop\lol_project\dataset\픽\Screenshot_20260328_174001_Wild_Rift_r5c2.png,0.735402
C:\Users\gimbe\OneDrive\Desktop\lol_project\dataset\자료\Screenshot_20260328_113442_Wild Rift__ally_picks_5.png,C:\Users\gimbe\OneDrive\Desktop\lol_project\dataset\픽\Screenshot_20260328_174030_Wild_Rift_r3c1.png,0.761606
C:\Users\gimbe\OneDrive\Desktop\lol_project\dataset\자료\Screenshot_20260328_121157_Wild Rift__ally_picks_1.png,C:\Users\gimbe\OneDrive\Desktop\lol_project\dataset\픽\Screenshot_20260328_173940_Wild_Rift_r2c3.png,0.699787
C:\Users\gimbe\OneDrive\Desktop\lol_project\dataset\자료\Screenshot_20260328_121157_Wild Rift__ally_picks_2.png,C:\Users\gimbe\OneDrive\Desktop\lol_project\dataset\픽\Screenshot_20260328_173947_Wild_Rift_r1c1.png,0.704870
C:\Users\gimbe\OneDrive\Desktop\lol_project\dataset\자료\Screenshot_20260328_121157_Wild Rift__ally_picks_3.png,C:\Users\gimbe\OneDrive\Desktop\lol_project\dataset\픽\Screenshot_20260328_173940_Wild_Rift_r1c3.png,0.743028
C:\Users\gimbe\OneDrive\Desktop\lol_project\dataset\자료\Screenshot_20260328_121157_Wild Rift__ally_picks_4.png,C:\Users\gimbe\OneDrive\Desktop\lol_project\dataset\픽\Screenshot_20260328_173947_Wild_Rift_r2c4.png,0.733053
C:\Users\gimbe\OneDrive\Desktop\lol_project\dataset\자료\Screenshot_20260328_121157_Wild Rift__ally_picks_5.png,C:\Users\gimbe\OneDrive\Desktop\lol_project\dataset\픽\Screenshot_20260328_173947_Wild_Rift_r4c5.png,0.669531
C:\Users\gimbe\OneDrive\Desktop\lol_project\dataset\자료\Screenshot_20260328_121409_Wild Rift__ally_picks_1.png,C:\Users\gimbe\OneDrive\Desktop\lol_project\dataset\픽\Screenshot_20260328_174030_Wild_Rift_r1c4.png,0.711775
C:\Users\gimbe\OneDrive\Desktop\lol_project\dataset\자료\Screenshot_20260328_121409_Wild Rift__ally_picks_2.png,C:\Users\gimbe\OneDrive\Desktop\lol_project\dataset\픽\Screenshot_20260328_174030_Wild_Rift_r3c2.png,0.670224
C:\Users\gimbe\OneDrive\Desktop\lol_project\dataset\자료\Screenshot_20260328_121409_Wild Rift__ally_picks_3.png,C:\Users\gimbe\OneDrive\Desktop\lol_project\dataset\픽\Screenshot_20260328_174001_Wild_Rift_r5c4.png,0.731677
C:\Users\gimbe\OneDrive\Desktop\lol_project\dataset\자료\Screenshot_20260328_121409_Wild Rift__ally_picks_4.png,C:\Users\gimbe\OneDrive\Desktop\lol_project\dataset\픽\Screenshot_20260328_174024_Wild_Rift_r3c3.png,0.797694
C:\Users\gimbe\OneDrive\Desktop\lol_project\dataset\자료\Screenshot_20260328_121409_Wild Rift__ally_picks_5.png,C:\Users\gimbe\OneDrive\Desktop\lol_project\dataset\픽\Screenshot_20260328_174030_Wild_Rift_r1c5.png,0.619736
C:\Users\gimbe\OneDrive\Desktop\lol_project\dataset\자료\Screenshot_20260328_145604_Wild Rift__ally_picks_1.png,C:\Users\gimbe\OneDrive\Desktop\lol_project\dataset\픽\Screenshot_20260328_173954_Wild_Rift_r2c2.png,0.743210
C:\Users\gimbe\OneDrive\Desktop\lol_project\dataset\자료\Screenshot_20260328_145604_Wild Rift__ally_picks_2.png,C:\Users\gimbe\OneDrive\Desktop\lol_project\dataset\픽\Screenshot_20260328_174001_Wild_Rift_r3c2.png,0.675664
C:\Users\gimbe\OneDrive\Desktop\lol_project\dataset\자료\Screenshot_20260328_145604_Wild Rift__ally_picks_3.png,C:\Users\gimbe\OneDrive\Desktop\lol_project\dataset\픽\Screenshot_20260328_174001_Wild_Rift_r4c3.png,0.740524
C:\Users\gimbe\OneDrive\Desktop\lol_project\dataset\자료\Screenshot_20260328_145604_Wild Rift__ally_picks_4.png,C:\Users\gimbe\OneDrive\Desktop\lol_project\dataset\픽\Screenshot_20260328_174024_Wild_Rift_r4c3.png,0.732415
C:\Users\gimbe\OneDrive\Desktop\lol_project\dataset\자료\Screenshot_20260328_145604_Wild Rift__ally_picks_5.png,C:\Users\gimbe\OneDrive\Desktop\lol_project\dataset\픽\Screenshot_20260328_173954_Wild_Rift_r1c3.png,0.727967
C:\Users\gimbe\OneDrive\Desktop\lol_project\dataset\자료\Screenshot_20260328_152734_Wild Rift__ally_picks_1.png,C:\Users\gimbe\OneDrive\Desktop\lol_project\dataset\픽\Screenshot_20260328_174001_Wild_Rift_r3c2.png,0.681992
C:\Users\gimbe\OneDrive\Desktop\lol_project\dataset\자료\Screenshot_20260328_152734_Wild Rift__ally_picks_2.png,C:\Users\gimbe\OneDrive\Desktop\lol_project\dataset\픽\Screenshot_20260328_173940_Wild_Rift_r4c1.png,0.713947
C:\Users\gimbe\OneDrive\Desktop\lol_project\dataset\자료\Screenshot_20260328_152734_Wild Rift__ally_picks_3.png,C:\Users\gimbe\OneDrive\Desktop\lol_project\dataset\픽\Screenshot_20260328_174014_Wild_Rift_r2c4.png,0.719022
C:\Users\gimbe\OneDrive\Desktop\lol_project\dataset\자료\Screenshot_20260328_152734_Wild Rift__ally_picks_4.png,C:\Users\gimbe\OneDrive\Desktop\lol_project\dataset\픽\Screenshot_20260328_173954_Wild_Rift_r2c4.png,0.754179
C:\Users\gimbe\OneDrive\Desktop\lol_project\dataset\자료\Screenshot_20260328_152734_Wild Rift__ally_picks_5.png,C:\Users\gimbe\OneDrive\Desktop\lol_project\dataset\픽\Screenshot_20260328_174030_Wild_Rift_r3c1.png,0.761496
C:\Users\gimbe\OneDrive\Desktop\lol_project\dataset\자료\Screenshot_20260328_154829_Wild Rift__ally_picks_1.png,C:\Users\gimbe\OneDrive\Desktop\lol_project\dataset\픽\Screenshot_20260328_173947_Wild_Rift_r1c4.png,0.771950
C:\Users\gimbe\OneDrive\Desktop\lol_project\dataset\자료\Screenshot_20260328_154829_Wild Rift__ally_picks_2.png,C:\Users\gimbe\OneDrive\Desktop\lol_project\dataset\픽\Screenshot_20260328_174001_Wild_Rift_r3c2.png,0.675664
C:\Users\gimbe\OneDrive\Desktop\lol_project\dataset\자료\Screenshot_20260328_154829_Wild Rift__ally_picks_3.png,C:\Users\gimbe\OneDrive\Desktop\lol_project\dataset\픽\Screenshot_20260328_173940_Wild_Rift_r1c3.png,0.742922
C:\Users\gimbe\OneDrive\Desktop\lol_project\dataset\자료\Screenshot_20260328_154829_Wild Rift__ally_picks_4.png,C:\Users\gimbe\OneDrive\Desktop\lol_project\dataset\픽\Screenshot_20260328_173947_Wild_Rift_r3c5.png,0.635021
C:\Users\gimbe\OneDrive\Desktop\lol_project\dataset\자료\Screenshot_20260328_154829_Wild Rift__ally_picks_5.png,C:\Users\gimbe\OneDrive\Desktop\lol_project\dataset\픽\Screenshot_20260328_173947_Wild_Rift_r2c4.png,0.657524
C:\Users\gimbe\OneDrive\Desktop\lol_project\dataset\자료\a__roi_preview__ally_picks_1.png,C:\Users\gimbe\OneDrive\Desktop\lol_project\dataset\픽\Screenshot_20260328_174001_Wild_Rift_r3c2.png,0.672343
C:\Users\gimbe\OneDrive\Desktop\lol_project\dataset\자료\a__roi_preview__ally_picks_2.png,C:\Users\gimbe\OneDrive\Desktop\lol_project\dataset\픽\Screenshot_20260328_173954_Wild_Rift_r2c5.png,0.648504
C:\Users\gimbe\OneDrive\Desktop\lol_project\dataset\자료\a__roi_preview__ally_picks_3.png,C:\Users\gimbe\OneDrive\Desktop\lol_project\dataset\픽\Screenshot_20260328_174001_Wild_Rift_r5c2.png,0.757418
C:\Users\gimbe\OneDrive\Desktop\lol_project\dataset\자료\a__roi_preview__ally_picks_4.png,C:\Users\gimbe\OneDrive\Desktop\lol_project\dataset\픽\Screenshot_20260328_174030_Wild_Rift_r3c2.png,0.652109
C:\Users\gimbe\OneDrive\Desktop\lol_project\dataset\자료\a__roi_preview__ally_picks_5.png,C:\Users\gimbe\OneDrive\Desktop\lol_project\dataset\픽\Screenshot_20260328_174030_Wild_Rift_r2c2.png,0.567568
C:\Users\gimbe\OneDrive\Desktop\lol_project\dataset\자료\screen_20260327_173356__roi_preview__ally_picks_1.png,C:\Users\gimbe\OneDrive\Desktop\lol_project\dataset\픽\Screenshot_20260328_173940_Wild_Rift_r2c4.png,0.662589
C:\Users\gimbe\OneDrive\Desktop\lol_project\dataset\자료\screen_20260327_173356__roi_preview__ally_picks_2.png,C:\Users\gimbe\OneDrive\Desktop\lol_project\dataset\픽\Screenshot_20260328_173940_Wild_Rift_r4c2.png,0.740839
C:\Users\gimbe\OneDrive\Desktop\lol_project\dataset\자료\screen_20260327_173356__roi_preview__ally_picks_4.png,C:\Users\gimbe\OneDrive\Desktop\lol_project\dataset\픽\Screenshot_20260328_173947_Wild_Rift_r2c5.png,0.758503
C:\Users\gimbe\OneDrive\Desktop\lol_project\dataset\자료\screen_20260327_191704__roi_preview__ally_picks_1.png,C:\Users\gimbe\OneDrive\Desktop\lol_project\dataset\픽\Screenshot_20260328_174030_Wild_Rift_r1c2.png,0.568594
C:\Users\gimbe\OneDrive\Desktop\lol_project\dataset\자료\screen_20260327_191814__roi_preview__ally_picks_1.png,C:\Users\gimbe\OneDrive\Desktop\lol_project\dataset\픽\Screenshot_20260328_174030_Wild_Rift_r1c2.png,0.772384
C:\Users\gimbe\OneDrive\Desktop\lol_project\dataset\자료\screen_20260327_191814__roi_preview__ally_picks_2.png,C:\Users\gimbe\OneDrive\Desktop\lol_project\dataset\픽\Screenshot_20260328_174024_Wild_Rift_r2c2.png,0.764065
C:\Users\gimbe\OneDrive\Desktop\lol_project\dataset\자료\screen_20260327_191814__roi_preview__ally_picks_3.png,C:\Users\gimbe\OneDrive\Desktop\lol_project\dataset\픽\Screenshot_20260328_173947_Wild_Rift_r2c4.png,0.760398
C:\Users\gimbe\OneDrive\Desktop\lol_project\dataset\자료\screen_20260327_191814__roi_preview__ally_picks_4.png,C:\Users\gimbe\OneDrive\Desktop\lol_project\dataset\픽\Screenshot_20260328_173940_Wild_Rift_r2c2.png,0.538979
C:\Users\gimbe\OneDrive\Desktop\lol_project\dataset\자료\screen_20260327_193928__roi_preview__ally_picks_1.png,C:\Users\gimbe\OneDrive\Desktop\lol_project\dataset\픽\Screenshot_20260328_173940_Wild_Rift_r3c5.png,0.743764
C:\Users\gimbe\OneDrive\Desktop\lol_project\dataset\자료\screen_20260327_193928__roi_preview__ally_picks_2.png,C:\Users\gimbe\OneDrive\Desktop\lol_project\dataset\픽\Screenshot_20260328_174030_Wild_Rift_r1c3.png,0.723699
C:\Users\gimbe\OneDrive\Desktop\lol_project\dataset\자료\screen_20260327_193928__roi_preview__ally_picks_3.png,C:\Users\gimbe\OneDrive\Desktop\lol_project\dataset\픽\Screenshot_20260328_174001_Wild_Rift_r5c2.png,0.737632
C:\Users\gimbe\OneDrive\Desktop\lol_project\dataset\자료\screen_20260327_193928__roi_preview__ally_picks_4.png,C:\Users\gimbe\OneDrive\Desktop\lol_project\dataset\픽\Screenshot_20260328_174024_Wild_Rift_r1c2.png,0.784978
